,id,sentence1,sentence2,is_duplicate
17,17,Palm Beach County is considering adding up to $200 million more in incentives.,The implementation of an additional $200 million in incentives is being considered in Palm Beach County.,1
18,18,Palm Beach County is considering adding up to $200 million more in incentives.,"The implementation of additional incentives, with a maximum of $200 million, is up for consideration by Palm Beach County.",1
19,19,"Furthermore, Bremer estimated that as many as 200 operatives from the extremist group Ansar al-Islam have slipped back into the country since May 1.",Bremer also estimates that nearly 200 members of the extremist group Ansar al-Islam returned to the country on 1 May.,1
20,20,"Furthermore, Bremer estimated that as many as 200 operatives from the extremist group Ansar al-Islam have slipped back into the country since May 1.",Bremer also estimates that nearly 200 members of the extremist group Ansar al-Islam returned to the country on 1 May.,1
21,21,"Siebel, whose fortunes soared with the tech boom, has cut nearly one-third of its workforce since the end of 2001.","Siebel, whose prosperity has grown with the technological boom, has reduced its workforce by almost a third since late 2001.",1
22,22,"Siebel, whose fortunes soared with the tech boom, has cut nearly one-third of its workforce since the end of 2001.","Siebel, whose prosperity has increased with the technological boom, has reduced close to one-third of its workforce since the end of 2001.",1
23,23,"Siebel, whose fortunes soared with the tech boom, has cut nearly one-third of its workforce since the end of 2001.","Siebel, whose prosperity has increased with the technological boom, has reduced close to one-third of its workforce since the end of 2001.",1
24,24,"Two years later, the insurance coverage would begin.",The insurance will start in two years,1
25,25,"""We are pleased with the judge's decision and pleased that they accepted our arguments,"" a Merrill spokesman said Tuesday.","""We are pleased with the decision the judge has given us and we are pleased that they have accepted our arguments,"" a Mery l spokeswoman said Tuesday.",1
26,26,"""We are pleased with the judge's decision and pleased that they accepted our arguments,"" a Merrill spokesman said Tuesday.","""We are pleased with the decision the judge has given us and we are pleased that they have accepted our arguments,"" a Mery l spokeswoman said Tuesday.",1
27,27,We intend to appeal vigorously and still expect to be vindicated ultimately.,"We want to appeal seriously, but expect it to be proven in the end.",1
28,28,The indictment supercedes a criminal complaint filed against Quattrone on April 23 with similar charges.,The indictment proves a criminal complaint filed on April 23 against Quattron with similar allegations.,1
29,29,The indictment supercedes a criminal complaint filed against Quattrone on April 23 with similar charges.,A criminal complaint filed on April 23 with similar charges against Quattron proves that this allegation exists.,0
30,30,The indictment supercedes a criminal complaint filed against Quattrone on April 23 with similar charges.,A criminal complaint filed on April 23 with similar charges against Quattron proves that this allegation exists.,0
31,31,"Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.","He was released 56 days later and is said to have formed the Fiji army, which won the September 2001 democratic elections and established all local bodies led by Karas.",0
32,32,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.","In general, jurors in state and federal cases have been more reluctant to impose the death penalty and have not enforced it.",0
33,33,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.","In general, jurors in federal and state cases have been more reluctant to impose the death penalty and have not enforced it.",0
34,34,You're crying.,i am not crying,0
35,35,You're crying.,I did not cry,0
36,36,You're crying.,I did not cry,0
37,37,You're crying.,may be,0
38,38,You're crying.,I didn't get ice cream so Nun was crying,0
39,39,You believe everything on TV?,I can’t believe some of what I see on TV.,0
40,40,You believe everything on TV?,I don’t believe anything I see on TV.,0
41,41,You believe everything on TV?,yes i believe everything on TV?,0
42,42,You believe everything on TV?,yes i believe everything on TV?,0
43,43,"Some of the company's software developers will join Microsoft, but details haven't been finalized, said Mike Nash, corporate vice president of Microsoft's security business unit.","Some of the company's software developers will join Microsoft, but the details have not been recorded, said Mike Nash, corporate vice president of security business at Microsoft.",1
44,44,I say there is a smell like in the shed.,I tell my brother that there is a smell in the barn.,0
45,45,I say there is a smell like in the shed.,I think there is a smell in the shed.,1
46,46,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,Mr. Manuel and his crew were able to cross the bridge connecting Madamoros and Brownsville to enter the United States.,0
47,47,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,Mr. Manuel and his crew were able to cross the bridge connecting Brownsville to enter the United States.,0
48,48,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,Mr. Manuel and his group entered the United States by walking across the bridge linking Brownsville.,0
49,49,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,Mr. Manuel and his group entered the United States by walking across the bridge linking Brownsville.,0
50,50,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.,Mr. Manuel and his crew have the opportunity to walk across the bridge connecting Madamoros and Brownsville and enter the United States.,1
51,51,Children and adolescents The use of Actelsar HCT in children and adolescents up to the age of 18 years is not recommended.,Children and adolescents are recommended to use Octelsar HCD in children and adolescents up to 18 years of age.,0
52,52,"""A lot of these are made-up stories,"" Schwarzenegger told NBC television.","Schwarzenegger told NBC television that ""there may be a lot of these made-up stories.""",1
53,53,"""A lot of these are made-up stories,"" Schwarzenegger told NBC television.","Schwarzenegger told NBC television that ""there may be a lot of these made-up stories.""",1
54,54,"""Accordingly, there needs to be more on the horizon than simply winning a war against terrorism.","In two years, the sum insured will start.",0
55,55,But Senate criticism of the House plan Tuesday came on several fronts.,animesh,0
56,56,What is this?,animesh,0
57,57,The exercise of voting rights should be made easy.,animesh,0
58,58,The final will be at the new Home Depot Center in Carson on Oct. 12.,"Quarterfinals are expected to be doubleheaders at two sites, and the semifinals a doubleheader at one site.",0
59,59,Fuels used by plants containing at least one CHP unit are to be reported under Main Activity Producer CHP Plants.,This includes electricity generated from main activity producer CHP plants. Main activity producer CHP plants refer to plants which,0
60,60,Fuels used by plants containing at least one CHP unit are to be reported under Main Activity Producer CHP Plants.,This includes electricity generated from main activity producer CHP plants. Main activity producer CHP plants refer to plants which,0
61,61,Fuels used by plants containing at least one CHP unit are to be reported under Main Activity Producer CHP Plants.,Main activity producer CHP plants refer to plants which,0
62,62,Fuels used by plants containing at least one CHP unit are to be reported under Main Activity Producer CHP Plants.,great deal,0
63,63,Come here!,baby,0
64,64,Come here!,come here my sweetheart,0
65,65,On 29 October 2003 the respondents and IFAH wrote to the Court discontinuing their cross-appeals on the basis that by adopting Regulation No 1873/2003 the Commission had brought to an end the failure to act which was the subject-matter of the cross-appeals.,On 29 October 2003 the respondents and IFAH wrote to the Court discontinuing their cross-appeals on the basis that by adopting Regulation No 1873/2003 the Commission had brought to an end the failure to act which was the subject-matter of the cross-appeales.,1
66,66,'The slavemaster and his men.','The slavemaster and his men',1
67,67,"I mean,she was one of the bigget threats in the game.",,0
68,68,Move it!,This is my sentence,0
69,69,Move it!,This is my sentence,0
70,70,Move it!,This is my sentence.,0
71,71,Move it!,"Only upon cholesterol's , decomposition by ozone can some molecules be formed .",0
72,72,They gave me a holding deal.,A holding deal was given by them.,1
73,73,You can sleep outside!,On outside you will sleep.,1
74,74,|| 02.05.01 European satellite navigation programmes (EGNOS and Galileo),European satellite navigation programmes,0
75,75,|| 02.05.01 European satellite navigation programmes (EGNOS and Galileo),Navigation programmes European Satellite,0
76,76,|| 02.05.01 European satellite navigation programmes (EGNOS and Galileo),Navigation programmes European Satellite 02.05.01,0
77,77,The seventh person charged in the case - Habis Abdu al Saoub - remains at large.,Habis Abdu al Saoub remains at large .,0
78,78,The seventh person charged in the case - Habis Abdu al Saoub - remains at large.,Habis Abdu al Saoub remains at large the seventh person charged in the case.,1
79,79,Copy source to target,Target to cpy source.,1
80,80,Copy source to target,Target to copy source.,1
81,81,Copy source to target,Target to coy source.,0
82,82,Copy source to target,Target to copy source.,1
83,83,List of physicians,physician's list.,1
84,84,"I mean,she was one of the bigget threats in the game.","i mean, she was one of the biggest threats in the game.",1
85,85,"Hernandez has been treated for breast cancer, and Moore suffers from non-Hodgkin's lymphoma.","Hemandez has been treated for beast cancer, and Moore suffers from non-Hodgkin's lymphoma.",0
86,86,International Read Settings,Read international settings.,1
87,87,International Read Settings,Read the international settings.,1
88,88,"Underboss, Eijiro Gomi.",Eijiro Gomi is under the boss.,1
89,89,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded by Mr Arafat .,0
90,90,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded bynational security council and it was headed by Mr Arafat .,1
91,91,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded by national security council and it was headed by Mr Arafat .,1
92,92,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded by national security council and it was headed by Mr. Arafat .,1
93,93,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded by the national security council and it was headed by Mr. Arafat .,1
94,94,"Overall control will be wielded by a national security council, headed by Mr Arafat.",control wielded by the national security council and it was headed by the Mr. Arafat .,1
95,95,Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week.,In this week office received the recordings,0
96,96,Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week.,In this week office received their  recordings .,0
97,97,Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week.,office received their  recordings by this week .,0
98,98,Sean?,Is Sean?,1
99,99,Sean?,Is this Sean?,1
100,100,Sean?,Sean ! Is this you ?,1
101,101,Organic chemistry with a specialty in--,A speciality with organic chemistry.,0
102,102,We use it to track and monitor the Last night at 23.17 that fence was breached.,They use track and monitor.,0
103,103,No?,Yes?,0
104,104,No?,Shall we?,0
105,105,"No, James, but that doesn't mean I wasn't inspired by it.",James said that he wasn't inspired .,0
106,106,No?,Permissible?,0
107,107,No?,May I?,0
108,108,No?,No.,1
109,109,No?,Perhaps it would be agreeable?,0
110,110,No?,Perhaps it would be agreeable?,0
111,111,No?,Agreeable?,0
112,112,No?,Not?,1
113,113,"Let's check, let's check.",let's check,1
114,114,"No, Dominus.",no. Dominos,1
115,115,"""We have found the smoking gun,"" investigating board member Scott Hubbard said.",We found the gun.,0
116,116,"""We have found the smoking gun,"" investigating board member Scott Hubbard said.","We found the gun, investigation board member Scott told.",0
117,117,KGB? Am I in Russia?,Am I in Russia? KGB?,1
118,118,Break OLE Link,Break the link,1
119,119,"The poll, conducted by KRC Communications Research of Newton, was taken Wednesday and Thursday.",KRC was conducted and was taken by wednesday and thursday.,0
120,120,This required no diagram to be understood.,No diagram is required .,0
121,121,Petra laughed and gave him a little shove.,a little shove was given by Petra .,0
122,122,Petra laughed and gave him a little shove.,a little shove was given by Petra and she was laughed away .,0
123,123,"About 1,557 genes on chromosome 6 are thought to be functional.",6 are thought to be functional,0
124,124,Similar bills passed the House twice but died in the Senate.,Senate died and the similar bills are passed the house,0
125,125,"""active and productive than would otherwise be so,""",productive and active than would otherwise be so,1
126,126,Those who only had surgery lived an average of 46 months.,One who had a surgery they will live an average of 46 months.,1
127,127,"It doesnt appear the children struggled, Prowers County Coroner Joe Giadone said Saturday.",At the saturday Prowers County Coroner Joe Giadone told that it doesnot appear the children struggled.,1
128,128,"It doesnt appear the children struggled, Prowers County Coroner Joe Giadone said Saturday.",At the saturday Prowers County Coroner Joe Giadone told that it does not appear the children struggled.,1
129,129,How's business?,How was the business ?,1
130,130,How's business?,How was the business today ?,0
131,131,How's business?,How was the business ?,1
132,132,Treatment successful.,The treatment was succesful.,1
133,133,Blagojevich reiterated his stance Wednesday to not prop up the budget with a gambling expansion.,With the gambling expansion Blagojevich reiterated his stance,0
134,134,Blagojevich reiterated his stance Wednesday to not prop up the budget with a gambling expansion.,With the gambling expansion Blagojevich reiterated his stance and wednesday to not prop up .,0
135,135,Blagojevich reiterated his stance Wednesday to not prop up the budget with a gambling expansion.,With the gambling expansion Blagojevich reiterated his stance and do not prop up his stance.,0
136,136,"so that she became the first person in her village,",In the village she became the first person,1
137,137,The reports helped overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday.,Against the dollar tuesday the reports helped after the euro briefly.,0
138,138,"You've gotta kill yourself, David, before it's too late.",It's too late david you have kill yourself.,0
139,139,"You've gotta kill yourself, David, before it's too late.",It's too late david you have gotta kill yourself.,0
140,140,EMEA/H/C/116,,0
141,141,EMEA/H/C/116,116/EMEA/H/C/,1
142,142,EMEA/H/C/116,C/116/EMEA/H/,1
143,143,EMEA/H/C/116,H/C/116/EMEA,1
144,144,This story can fit 175-225 words.,It was 175-225 words story.,1
145,145,This story can fit 175-225 words.,It was 175-225 words story can fit.,1
146,146,"Hey, come on.",come on,1
147,147,"Hey, come on.",come on.,1
148,148,"Hey, come on.",come on let's go.,0
149,149,"Hey, come on.",come on we will go .,0
150,150,Just try to keep him out of trouble.,keep him tojust try  out of trouble.,1
151,151,"According to the rules of the martials arts universe, it is finders, keepers.","It was finder ,keepers according to the rules of the martials art universe.",1
152,152,Good idea.,The idea was good .,1
153,153,Shares of Corixa fell 12 cents to $6.88 as of 3:59 p.m.,Corixa fell 12 cents to $6.88,0
154,154,Asia/Aqtau,Aqtau/Asia,1
155,155,Neither will we.,We will neither.,1
156,156,"She insisted, though, that it not be published until after her death.",Though she was insisted she will not be published,0
157,157,"She insisted, though, that it not be published until after her death.",She was insisted until her death.,0
158,158,"Because of him, we were able to catch Saunders",We were able to catch the saunders because of him.,1
159,159,Phoebe was killed by the people you support.,I support the people was killed by Phoebe.,0
160,160,Phoebe was killed by the people you support.,the people was killed by Phoebe you support.,0
161,161,Nope.,none,1
162,162,They know what they're doing.,They are doing what they do.,0
163,163,Are we cool?,We are cool.,0
164,164,Are we cool?,Are we chill?,1
165,165,"Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.",Hunt told that Evacuation went smoothly.,0
166,166,"Evacuation went smoothly, although passengers weren't told what was going on, Hunt said.",Hunt told that Evacuation went smoothly and although the passengers.,0
167,167,"General, don't step forward this time.",This time you don't step  forward.,0
168,168,"The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.",,0
169,169,Karen and I collaborated.,I was collaborated by Karen.,1
170,170,Karen and I collaborated.,I was collaborated and Karen.,1
171,171,The two rugged counties got 2 to 3 inches of rain between midnight and noon.,At the midnight and noon the two countries got rain for 2 to 3 inches.,0
172,172,ELECTRONIC VOICE.; Dead man's protocol activated.,Dead man's protocol activated by the electronic voice.,1
173,173,"Bobby Bolivia, like the country, except without the runs.",Without any runs Bobby Bolivia liked the country.,1
174,174,"Okay, dad.",Dad . I am okay.,1
175,175,"Okay, dad.",Dad .  okay.,1
176,176,"Russia had closed checkpoints on parts of the border with China and Mongolia until June 4, Itar-Tass news agency said.",agency told that Russia  had closed checkpoints,0
177,177,Just...,just,1
178,178,"Yeah, well, they're gonna shoot Chance In, like, 30 seconds, so I wouldn't worry about that right now.",like 30 seconds I would worry about that,0
179,179,Blueberry,It's one type of vegetable.,0
180,180,Blueberry,It's one type of fruit.,0
181,181,Connecticut Attorney General Richard Blumenthal said he would fight any extension of the cable's use.,use the cable,0
182,182,Not for the State of California.,Not only for  california.,1
183,183,Not for the State of California.,Not only for the california.,1
184,184,"The door stood open once more, looking down now onto a sunny jungle shore, a softly heaving ocean surface, an oval stabo-yacht hanging in stasis above a clearing and a sandy beach.",,0
185,185,"The door stood open once more, looking down now onto a sunny jungle shore, a softly heaving ocean surface, an oval stabo-yacht hanging in stasis above a clearing and a sandy beach.",the doo,0
186,186,How?,What about?,1
187,187,"Indicators may include: perceptions of corruption, respondents’ behaviour linked to corrupt activities, and criminal justice statistics, including on seizures and confiscations of the proceeds of corruption-related crime.","Related crime may include perception of corruption, respondent's behavior linked to corrupt activities, and criminal justice statistics and confiscations of the proceeds of corruption",0
188,188,"Indicators may include: perceptions of corruption, respondents’ behaviour linked to corrupt activities, and criminal justice statistics, including on seizures and confiscations of the proceeds of corruption-related crime.","perception of corruption, respondent's behavior linked to corrupt activities, and criminal justice statistics, including on seizures and confiscations of the proceeds of corruption are related crime",1
189,189,The nanny.,care taker,0
190,190,The nanny.,babysitter,0
191,191,The nanny.,The babysitter,1
192,192,Go to him for me.,Go along with him for me,1
193,193,No. Not cuddly.,No. Not pleasant,0
194,194,No. Not cuddly.,No. Not soft,1
195,195,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","Giovanni bisignani, the director general of the Geneva based organization said that ""These are dark days for our industry"".",0
196,196,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","Giovanni bisignani, the director general of the Geneva based organization said that ""These are dark days for our industry"".",0
197,197,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","""These are dark days for our industry"". said Giovanni Bisignani",0
198,198,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","Giovanni Bisignani indicated that ""These are dark days for our industry"".",0
199,199,"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","""These are dark days for our industry"", the director general of the Geneva based organization Giovanni Bisignani said",0
200,200,The valley wall is only 50 meters over there.,The velley wall is length in 50 Meter over there,1
201,201,"However, George Heath, a Fort Campbell spokesman, said shortly after the attack that Akbar had ""an attitude problem"".","Shortly after the attack that Akbar had ""an attitude problem"" said George Heath, a fort campbell spokesman",1
202,202,What it ate?,What had it eaten?,1
203,203,"Other, more traditional tests are also available.","Other tests are available, which are regarded as more traditional.",1
204,204,"Other, more traditional tests are also available.","Other, more established, tests are available.",0
205,205,"Other, more traditional tests are also available.","Other, more established, tests are accessible.",0
206,206,"Other, more traditional tests are also available.","Other, more established, tests are available.",0
207,207,"Other, more traditional tests are also available.","Other, more traditional, tests are available.",1
208,208,"Other, more traditional tests are also available.","Other, more traditional, tests are accessible.",1
209,209,"Other, more traditional tests are also available.",More traditional tests are accessible.,1
210,210,"Other, more traditional tests are also available.",Tests which are more traditional are accessible.,1
211,211,"Other, more traditional tests are also available.",Tests which are more traditional are also accessible.,1
212,212,"Other, more traditional tests are also available.",Tests which are more traditional are accessible.,1
213,213,I guess what I wanted didn't matter.,I suppose my desires do not matter.,1
214,214,I guess what I wanted didn't matter.,I suppose my desires are not taken into considration.,1
215,215,I guess what I wanted didn't matter.,I suppose my desires are not taken into consideration.,1
216,216,I guess what I wanted didn't matter.,My desires are not taken into consideration.,0
217,217,I guess what I wanted didn't matter.,My desires are not taken into consideration I guess.,1
218,218,"""Such communication will help adult smokers make more informed choices,"" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing.","Richard Verheij, speaking at a House Energy and Commerce subcommittee hearing, said ""Such communication will help adult smokers make more informed choices"".",0
219,219,"""Such communication will help adult smokers make more informed choices,"" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing.","Richard Verheij, company vice president, while speaking at a House Energy and Commerce subcommittee hearing, said ""Such communication will help adult smokers make more informed choices"".",1
220,220,"""Such communication will help adult smokers make more informed choices,"" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing.","Richard Verheij, company vice president, speaking at a House Energy and Commerce subcommittee hearing, said ""Such communication will help adult smokers make more informed choices"".",1
221,221,"""Such communication will help adult smokers make more informed choices,"" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing.","Richard Verheij, vice president of the company, speaking at a House Energy and Commerce subcommittee hearing, said ""Such communication will help adult smokers make more informed choices"".",1
222,222,"""Such communication will help adult smokers make more informed choices,"" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing.","Richard Verheij, company vice president, said ""Such communication will help adult smokers make more informed choices"" while speaking at a House Energy and Commerce subcommittee hearing,",1
223,223,Why?,For what cause or reason?,1
224,224,"Dan Powers, vice president of grid computing strategy at IBM Corp., says he's not worried about such off-the-shelf PC clusters threatening sales of traditional supercomputers.","The vice president of grid computing strategy at IBM Corp., Dan Powers, says he is not worried about commodity PC clusters diminishing sales of traditional supercomputers.",1
225,225,"Dan Powers, vice president of grid computing strategy at IBM Corp., says he's not worried about such off-the-shelf PC clusters threatening sales of traditional supercomputers.","The vice president of grid computing strategy at IBM Corp., Dan Powers, says he is not worried about commodity PC clusters diminishing sales of conventional supercomputers.",1
226,226,"Oh, yeah.",Yes.,1
227,227,"Oh, yeah.","Oh, yes.",1
228,228,"Oh, yeah.",Sure.,1
229,229,"Oh, yeah.",Yep.,1
230,230,"Oh, yeah.",Positively.,0
231,231,"Oh, yeah.",Without doubt.,0
232,232,"Oh, yeah.","Gee, yes.",1
233,233,"Oh, yeah.","Gee, positively.",1
234,234,Mother...,Mom...,1
235,235,Mother...,"Mother, really...",1
236,236,Mother...,"Mom, really...",1
237,237,Mother...,"Mom, really squirrels...",0
238,238,Mother...,"Mom, really...",1
239,239,"They're coming for you, and I don 't know what they're going to do.","I know not what they will do, but they are coming for you.",1
240,240,"They're coming for you, and I don 't know what they're going to do.","I know not what they intend, but they are coming for you.",1
241,241,Then you must decide which is your greater obligation.,You must chose which is the greater duty then.,1
242,242,Then you must decide which is your greater obligation.,You must choose which is the greater duty then.,1
243,243,Then you must decide which is your greater obligation.,The greater obligation is for you to choose.,1
244,244,"Instead, Weida decided that Meester's case on charges of rape, sodomy, indecent assault and providing alcohol to minors should proceed to a court-martial.","Weida adjudicated that the charges against Meester of rape, sodomy, indecent assault, and providing alcohol to minors should proceed to a court-martial.",1
245,245,"Instead, Weida decided that Meester's case on charges of rape, sodomy, indecent assault and providing alcohol to minors should proceed to a court-martial.","Weida adjudicated that the charges against Meester of rape, sodomy, indecent assault, and providing alcohol to minors would proceed to a court-martial.",1
246,246,"Instead, Weida decided that Meester's case on charges of rape, sodomy, indecent assault and providing alcohol to minors should proceed to a court-martial.","Weida adjudicated that the charges against Meester of rape, sodomy, indecent assault, and providing alcohol to minors would now proceed to a court-martial.",1
247,247,"It will be followed in November by a third movie, ""The Matrix Revolutions.""","""The Matrix Revolutions"", the third movie, will follow it in November.",1
248,248,"It's a pretty big decision, alright.","Yep, that's a huge decision.",1
249,249,"Chirac, who can pardon a law-breaker, refused Humbert's request last year but kept in close touch with the family.","Chirac, who has the authority to pardon someone who breaks the law, refused a request by Humbert last year but keeps in close touch with the family.",1
250,250,"It would remove $55 billion in tax subsidies for exporters, which are illegal under international trade law, in exchange for new tax breaks.",International law makes it illegal to remove $55 billion in tax subsidies for exporters in exchange for tax breaks,0
251,251,"It would remove $55 billion in tax subsidies for exporters, which are illegal under international trade law, in exchange for new tax breaks.",Tax breaks are illegal under international trade law,0
252,252,"It would remove $55 billion in tax subsidies for exporters, which are illegal under international trade law, in exchange for new tax breaks.",Tax breaks are illegal under international trade law,0
253,253,"It would remove $55 billion in tax subsidies for exporters, which are illegal under international trade law, in exchange for new tax breaks.",Tax breaks are illegal under international trade law. It removes $55 billion for exporters,0
254,254,What happened?,How did it turn out?,1
255,255,What happened?,Then what?,1
256,256,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",The death penalty is rarely used in federal or state cases.,0
257,257,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",The death penalty is rarely suggested by juries in federal or state cases.,0
258,258,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Juries tend to shy away from the death penalty in both federal and state cases.,0
259,259,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Juries tend to shy away from the death penalty in both federal and state cases.,0
260,260,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",It is becoming more and more rare for juries to impose the death penalty in both state and federal cases.,1
261,261,"""These are violent surgeries and I wanted to convey that,"" Murphy says.","Murphy says ""I wanted to convey these violent surgeries,""",1
262,262,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",It is becoming more and more rare for juries to suggest capital punishment.,0
263,263,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Capital punishment is suggested by juries in fewer and fewer cases at both the state and federal level.,0
264,264,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Capital punishment is suggested by juries in fewer and fewer cases at both the state and federal level.,0
265,265,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Capital punishment is suggested by juries in increasingly fewer cases at both the state and federal level.,0
266,266,"""These are violent surgeries and I wanted to convey that,"" Murphy says.","""These are horrible surgeries i want to tell you that, "" Murphy says.",0
267,267,"""These are violent surgeries and I wanted to convey that,"" Murphy says.",Murphy says that he wanted to convey these violent surgies.,1
268,268,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,"For the Developer & Platform Evangelism Company, Rudder was most recently a senior vice president.",1
269,269,"""These are violent surgeries and I wanted to convey that,"" Murphy says.",Murphy says that he wanted to convey these violent surgeries.,1
270,270,"""These are violent surgeries and I wanted to convey that,"" Murphy says.",Murphy says that he wanted to convey these violent surgeries.,1
271,271,"He got caught, for God's sake.","He, for God's sake, got trapped.",1
272,272,"""These are violent surgeries and I wanted to convey that,"" Murphy says.",Murphy says that he wanted to convey these violent operations.,1
273,273,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The weighted index of the Nasdaq rose 10.73 to 1,514.77, or 0.7 percent.",1
274,274,The two men were allegedly trying to engage Russian exiles in Britain in the assassination plot.,"In the assassination attempt, the two men reportedly attempted to involve Russian exiles in Britain.",1
275,275,"Two, you're so messed up right now, she'd be miserable dating you.","In addition, until you fix your problems, neither of you will be happy.",0
276,276,I was so confused.,it says that person is very confused,0
277,277,"Shares of Smithfield closed up $1.64, or 8.5 percent, at $20.85, on the New York Stock Exchange.","At $20.85, Smithfield securities closed up $1.64, or 8.5 percent, on the New York Stock Exchange.",1
278,278,"Two, you're so messed up right now, she'd be miserable dating you.","In addition, until you fix your problems, she will never be happy with you.",0
279,279,I was so confused.,So confused was I.,1
280,280,Take your pick.,Any selection is valid.,0
281,281,Take your pick.,Any selection is okay.,0
282,282,Take your pick.,Select any.,1
283,283,"Hoffa, 62, vanished on the afternoon of July 30, 1975, from a Bloomfield Township parking lot in Oakland County, about 25 miles north of Detroit.","Hoffa, 62, disappeared from a Bloomfield Township parking lot in Oakland County, some 25 miles north of Detroit, on the afternoon of July 30, 1975.",1
